# seconds|location|cast|size|中文起→中→末|英文首帧；运动|台词（说话人：原文）|道具|原文锚点
[EP001 死人领工钱]
4|梯口|陆照,麻铎|close|死期木牌正面朝镜→陆照的手停在牌前→麻铎翻走木牌|A weathered wooden tag hangs before Lu Zhao's hovering fingers; Ma Duo turns the tag away.|陆照OS：陆照领工钱之前，先看见了自己的死期。|死期牌|先看见了自己的死期
6|梯口|麻铎|medium_close|麻铎捏着牌角→向下舱口偏头→松手让牌背朝外|Ma Duo grips the corner of the hanging tag beside the hatch; he tilts his chin toward the ladder.|麻铎：照子。认什么字？干完就有饭。|死期牌|认什么字
7|闸舱|陆照|wide|陆照踏下南梯→鞋底入脚背深水→转向画右北门|Lu Zhao is on the lowest rung at frame left, the northern door at frame right and a repair ledge behind him; he steps into ankle-deep water.|陆照OS：岑鹿许了二百四十铜。这笔钱够姐姐少刷十二天的锅。|黑钢锥|二百四十铜
6|北门|闻溪|close|检修口内灯光摇晃→闻溪脸贴近小口→抬灯呼救|Wen Xi's wet face fills a small inspection opening above dark water, a lantern beside her cheek; she lifts the lantern toward the opening.|闻溪：三个人！先开门！|油灯|三个人
5|北门||close|铜销与工牌入画→镜头移向门内轮轴→停在紧锁木舌|A new yellow copper locking plate crosses the timber door beside a blank instruction board; the camera slides to the locking tongue behind the inspection opening.||铜销,工牌|先关进水
6|闸舱|陆照|medium|双脚站上西壁修台→脚跟抵木榫→双手将锥收在胸前|Lu Zhao stands on the repair ledge with both heels braced against wooden pegs and a short black awl held close to his chest; he bends his elbows and sets his feet.| |黑钢锥|双脚抵住台面的木榫
4|北门|陆照|close|锥尖抵铜销左侧→双手直推→铜面凹陷而未穿|Close view of Lu Zhao's two hands and the short black awl touching the left side of a copper plate; he pushes forward and leaves a shallow dent.| |铜销,黑钢锥|铜片凹了
6|北门|闻溪|close|闻溪灯贴检修口→指向内侧木舌→眼神落在锥尖位置|Wen Xi holds the lantern beside the inspection opening with her free index finger raised; she points down toward the wooden latch.|闻溪：里头有木舌，得顶过去！|油灯,铜销|里头有木舌
5|闸舱|麻铎|wide|麻铎沿南梯走下→踢倒长木钩→提叉挡住梯脚|Ma Duo stands at the southern ladder, a fork in both hands and a detached bronze crank hanging at his belt; he kicks a long wooden hook aside.|麻铎：省点力气。门不用开了。|船叉,铜轮柄,长木钩|唯一的出口
4|闸舱|陆照|medium_close|陆照回身→目光停在梯脚→握锥手略压低|Lu Zhao faces screen left on the wet repair ledge, his black awl held below his ribs; he lowers his wrist and lifts his chin.|陆照：他们还活着。|黑钢锥|他们还活着
4|闸舱|麻铎|close|麻铎叉柄横在胸前→压低叉尖→向右迈近一步|Ma Duo faces screen right with the fork shaft across his chest; he lowers its points and advances one step.|麻铎：账上没有。|船叉,铜轮柄|账上没有
6|闸舱|陆照,麻铎|wide|麻铎在画左陆照在画右→叉尖迫近陆照后退→陆照腰碰绳轮|Ma Duo occupies frame left with his fork aimed toward Lu Zhao at frame right beside a wooden winch; Lu Zhao steps back until his hip meets the axle.| |船叉,黑钢锥,绳轮机关|后腰碰到绳轮
5|闸舱|陆照|close|陆照目光落到轮下木楔→沿绳看向水中活套→确认坠石与承架半尺间隙|Lu Zhao's face is beside the oak brake wedge beneath the rope winch; his eyes follow the line toward the water loop and the stone weight above its support.||绳轮机关|制动木楔露在轮下
5|闸舱|麻铎|medium_close|门响麻铎偏头→叉头略离开陆照→目光朝北门|Ma Duo holds the fork across his body with his head angled toward the right-hand door; he turns his face farther right.|麻铎：吵什么！|船叉|麻铎回头骂
4|闸舱|陆照|close|陆照手扣仅装八铜的小袋→将袋抛向水中索圈→钱袋落在圈内|Lu Zhao's right hand holds a small worn purse containing eight copper coins above the open rope loop in shallow water; he tosses the purse into the center.| |钱袋铜钱,绳轮机关|八枚铜钱
5|闸舱|麻铎|medium|麻铎盯住钱袋→一脚再一脚踩入索圈→叉向陆照递出|Ma Duo stands immediately before the rope loop with the purse inside it; he steps into the loop and extends his fork.|麻铎：拿这点钱买命？|钱袋铜钱,绳轮机关,船叉|笑着踩进去
4|闸舱|陆照,麻铎|medium|陆照贴轴侧身→叉尖撞入轮齿→锥暂搁修台|Lu Zhao's torso is beside the winch axle as Ma Duo's fork approaches from frame left; Lu Zhao pivots sideways and sets the awl on the ledge as the fork catches the gear.| |船叉,绳轮机关,黑钢锥|叉头撞进轮齿
4|闸舱|陆照|close|陆照双手握木楔→沿轮下抽出→木楔脱离轮齿|Lu Zhao's two hands wrap around the oak brake wedge below the winch; he pulls the wedge straight out.| |绳轮机关|双手抽出木楔
5|闸舱|麻铎|wide|坠石悬在承架上→落半尺拉紧索圈→麻铎双脚并拢仰倒浅水|Ma Duo stands with both ankles inside the open loop beside the winch, the weight visible above its support; the weight drops a handspan and the rope draws his ankles together.| |绳轮机关,船叉|坠石轰然落下半尺
7|闸舱|陆照,麻铎|medium|麻铎仰倒→陆照膝压胸口将腕绑到立柱→踢远落水船叉|Ma Duo lies in shallow water beside the pillar, Lu Zhao kneeling next to his upper body; Lu Zhao ties his wrists to the pillar and pushes the fallen fork away with his foot.| |绳轮机关,船叉|双腕系到立柱
5|闸舱|陆照|close|陆照按住胸口→衣下短亮一点暖光→他抬眼望向北门|Lu Zhao presses his right palm over his sternum, his wet teal collar visible; a small amber glow briefly lights beneath the cloth as he lifts his eyes.|老人OS：每亲自胜过一个真正的敌人，直刺便添一痕。|余烬|一粒埋了三个月的炭
6|闸舱|陆照|medium|陆照弯腰捡回钱袋→抓起修台上的锥→脚跟重新抵木榫|Lu Zhao crouches beside the fallen purse with the short awl resting on the repair ledge; he retrieves both objects and steps back against the wooden pegs.| |钱袋铜钱,黑钢锥|抓回钱袋
5|北门|闻溪|close|灯芯缩成一点→水顶到闻溪下唇→她的眼睛抬向检修口|Wen Xi's face is framed tightly by the inspection opening, water at her lower lip and a weak lantern beside her; she raises her eyes toward the opening.| |油灯|水顶到了女人下唇
7|北门|陆照|close|锥尖对准浅凹右侧完整铜面→双手推穿铜销顶开木舌→北门向外撞开|Lu Zhao's hands brace the awl against intact copper to the right of the earlier dent; he drives the awl through the copper and the wooden latch releases as the door swings outward.| |铜销,黑钢锥|北门撞开了
[EP002 两只碗]
6|北门|陆照,闻溪|medium|北门延续撞开→陆照肩顶门并拉闻溪→闻溪登上修台|The northern door has just swung outward, Lu Zhao's shoulder against it and Wen Xi's hand reaching up from the water; he pulls her onto the ledge.| |铜销,油灯|用肩顶住门
6|北门|闻溪,灰胡子工人|medium|闻溪夹灯扶老人→灰胡子工人被拖上台→她指向水下|Wen Xi braces a lantern against her side while holding the grey-bearded worker by his forearm at the ledge; she pulls him up and points down.|闻溪：阿砾还在！|油灯|一手拖着灰胡子工人
7|北门|陆照,阿砾|medium|阿砾手露出水面→陆照伏低托膝窝→阿砾腿越过门槛|Lu Zhao leans over the repair ledge toward A Li's raised hand and trapped leg at the threshold; he supports the young man's knee and lifts the leg free.| | |被门槛卡住的腿
5|闸舱|阿砾,闻溪,灰胡子工人|wide|三名获救者挤在修台→阿砾伏身吐水→闻溪稳住老人|A Li, Wen Xi and the grey-bearded worker occupy the same narrow dry ledge; A Li folds forward and coughs water while Wen Xi steadies the elder.| |油灯|三个人齐了
6|闸舱|陆照,麻铎|medium|麻铎腕仍绑立柱→陆照摘下他腰上铜轮柄→转向北门内轮房|Ma Duo sits bound to the pillar with the bronze crank still at his belt; Lu Zhao unhooks the crank and turns toward the open northern door.| |铜轮柄,绳轮机关|从麻铎腰上摘下
7|北门|陆照|medium|轮柄对准内室轮轴→插入并双手压到底→墙缝水流停止|Lu Zhao stands inside the opened wheel room with the bronze crank aligned to its axle; he seats the crank and presses it through its full travel.| |铜轮柄|涌水声断了
6|闸舱|陆照|close|退水栓封着旁沟→陆照提栓→浅水绕脚流入沟口|Lu Zhao's hand closes around the wooden drainage stopper beside the channel at ankle level; he lifts the stopper and water curls into the channel.| |退水栓|退水栓拔起
6|北门|陆照|close|陆照在门槛水线处划印→水线降到印下两指→露出下游货沟木板|Lu Zhao's hand marks the wet door threshold with the tip of the short awl; the water drops two finger widths below the fresh mark.| |黑钢锥|水已退到印下两指
5|北门|闻溪,陆照|close|闻溪握住松动铜销→掰下递给陆照→左凹右孔并排清楚|Wen Xi's hand grips the loosened copper plate, its left dent and right puncture visible; she passes the plate into Lu Zhao's open palm.| |铜销|左边一处浅凹
6|梯口|守船人,陆照|medium|众人抵梯口→守船人横棍拦路→陆照停步|A dock guard stands frame left with a wooden staff across the hatch exit, Lu Zhao on the upper rung frame right; Lu Zhao stops at the staff.|守船人：封舱。谁让出来的？|长木钩,铜销|谁让出来的
4|梯口|麻铎,陆照|close|麻铎被牵在后方→凑近陆照耳旁→陆照不回头|Ma Duo stands behind Lu Zhao with a rope binding his wrists; Ma Duo leans toward Lu Zhao's ear.|麻铎：你上去也是死人。|绳轮机关|你上去也是死人
10|梯口|陆照|medium_close|陆照握着铜片→抬到日光下→向下指水线|Lu Zhao holds the copper plate at chest height beside the hatch; he raises its dent and hole into daylight and points down.|陆照：轮柄从他腰上拿的。现在关了进水，旁沟正退，你们下一个人认水线。|铜销,铜轮柄|认水线
11|梯口|岑鹿,守船人|medium|岑鹿走到横棍前→将保单拍在棍上→指向未湿货箱|Cen Lu stands beside the horizontal staff, a folded insurance document in her hand and cargo behind her; she slaps the paper onto the staff.|岑鹿：六箱药，第三层还没湿。旁边还有布和铜。再拖，你们替谁签损单？|保单货箱|六箱药
7|梯口|守船人,麻铎|wide|守船人从舱内返上→接过麻铎牵绳→身侧湿箱移开露干箱|The dock guard emerges from the hatch beside two wet crates with dry crates stacked behind; he takes Ma Duo's lead rope.| |保单货箱,绳轮机关|接过麻铎的牵绳
